"iso","whrc_aboveground_biomass_loss__Mg","umd_tree_cover_loss__ha","whrc_aboveground_co2_emissions__Mg","umd_tree_cover_loss__year"
"IRL",1053344.9284415788,6128.753455843609,1931132.3688095608,2017
"IRN",11471.862407699678,109.91407509003922,21031.74774744941,2017
"IRQ",94.22623885110576,0.9834451819595796,172.74810456036056,2017
"ISR",9011.412364237965,99.54904099364975,16520.9226677696,2017
"ITA",4004167.9249489624,34095.34985295555,7340974.529073096,2017
"JAM",401172.67637685407,2200.054600556259,735483.2400242325,2017
"JEY",185.77364857403242,1.4683109673545174,340.58502238572606,2017
"JOR",93.2239000095368,0.9805254550802394,170.91048335081746,2017
"JPN",8371957.245869575,47612.4597952682,15348588.28409422,2017
"KAZ",113810.610932982,975.1769845816088,208652.78671046696,2017
"KEN",3403739.5261932113,22163.388146004458,6240189.13135422,2017
"KGZ",6254.763178582903,55.75207340807199,11467.065827401988,2017
"KHM",27424926.012681205,118333.26745054046,50279031.02324887,2017
"KNA",473.5671375984632,3.678442645135508,868.2064189305158,2017
"KOR",2292636.9236606117,20758.7122233497,4203167.693377787,2017
"LAO",70150102.83660972,349136.62572704226,128608521.86711782,2017
"LBN",27984.63891611085,288.2091885433048,51305.17134620322,2017
"LBR",32728061.471944876,203292.03508461933,60001446.031898946,2017
"LBY",915.697955881921,10.452949380413797,1678.7795857835217,2017
"LCA",16748.961279852705,83.55703969967408,30706.429013063294,2017
"LIE",876.3316168976341,4.057775238384093,1606.6079643123287,2017
"LKA",2035502.650644792,13066.09839456523,3731754.8595154523,2017
"LSO",735.6793126663201,7.805554621455647,1348.74540655492,2017
"LTU",2910964.231246322,25803.69264478305,5336767.7572849225,2017
"LUX",86691.57594881252,412.66653662550993,158934.5559061563,2017
"LVA",4946636.285637185,47085.22203948609,9068833.190334838,2017
"MAC",,3.998465319336848,,2017
"MAR",255607.0259464734,2366.567118586505,468612.8809018679,2017
"MDA",113764.01847508382,1092.3795400824904,208567.36720432033,2017
"MDG",89762550.3938972,510356.85613728524,164564675.72214487,2017
"MEX",40515714.53031443,298787.5380594692,74278809.9722431,2017
"MKD",168954.55200059086,1144.6141966696064,309750.01200108323,2017
"MLI",39546.60601015166,331.98500583249984,72502.11101861138,2017
"MLT",12.51926275346717,0.1251926625108436,22.951981714689815,2017
"MMR",73487179.77264552,341844.6955261554,134726496.2498501,2017
"MNE",161237.40805905004,1268.971619631821,295601.9147749251,2017
"MNG",2139071.2673384775,25238.39889388581,3921630.656787205,2017
"MOZ",48948654.68331075,359011.13680185797,89739200.25273636,2017
"MSR",31.715689913197153,0.14751483680556815,58.145431507528116,2017
"MTQ",18371.749594115536,115.69333389233925,33681.54092254515,2017
"MWI",2140402.685839632,15307.694079994708,3924071.590705992,2017
"MYS",114670030.8373307,483416.10861357424,210228389.86843956,2017
"MYT",9004.291925987698,44.3638552161204,16507.868530977445,2017
"NAM",120.22470242639037,1.8335843917785954,220.41195444838235,2017
"NCL",179353.70454503043,1159.7805694712918,328815.12499922246,2017
"NGA",20526790.074255854,171045.44662358327,37632448.46946907,2017
"NIC",47173598.729993105,211681.25405391376,86484931.00498733,2017
"NLD",200131.29428685302,1333.202915522134,366907.3728592305,2017
"NOR",5038854.210394856,57916.60368443579,9237899.385723902,2017
"NPL",616429.7065262601,2394.08393242029,1130121.1286314768,2017
"NZL",13113767.411966313,74883.51550068297,24041906.92193824,2017
"PAK",26380.227070619403,190.24674115928408,48363.74962946892,2017
"PAN",6371552.5696939705,30878.791876191863,11681179.71110561,2017
"PER",73018107.33693492,303280.51969753,133866530.11771405,2017
"PHL",24360676.911713153,114280.59778671555,44661241.00480744,2017
"PNG",34250719.84625734,117509.4839582216,62792986.38480511,2017
"POL",12289365.640874218,96251.75379674735,22530503.67493606,2017
"PRI",12495215.368996294,56205.3506629881,22907894.843159862,2017
"PRK",942635.2909724,8522.73836844242,1728164.7001160665,2017
"PRT",20293340.380264323,173894.8078636663,37204457.36381793,2017
"PRY",30314675.073616147,360058.407255579,55576904.30162961,2017
"PSE",159.30566706049717,1.7029687807758767,292.0603896109114,2017
"ROU",3183515.020542005,19187.03312095061,5836444.20432701,2017
"RUS",492051297.3874804,5288940.641140026,902094045.2103808,2017
"RWA",341999.89072185976,2728.8183060839165,626999.7996567428,2017
"SDN",7765.674799481849,74.6473321746497,14237.070465716713,2017
"SEN",38764.33164565981,391.79548266333234,71067.94135037635,2017
"SGP",36120.99092725007,262.65034720574505,66221.81669995846,2017
"SLB",5822516.607618375,19761.385800830514,10674613.780633686,2017
"SLE",27897116.66294378,232752.74797355756,51144713.8820636,2017
"SLV",800346.6132421177,4745.6342647918555,1467302.124277216,2017
"SMR",2.6746331846881075,0.05572152468100224,4.903494171928197,2017
"SOM",20590.70273394853,304.89673329013675,37749.62167890563,2017
"SRB",601247.8870636593,3570.64200893243,1102287.7929500418,2017
"SSD",884269.8979730399,6856.227015177142,1621161.4796172401,2017
"SUR",5777629.985008688,18018.475284306936,10592321.639182596,2017
"SVK",2647769.9303691783,14213.008150311995,4854244.872343494,2017
"SVN",1010070.256335889,4891.96253278201,1851795.469949129,2017
"SWE",27205395.22738931,331217.22513943847,49876557.9168804,2017
"SWZ",1086262.714083852,6376.50367244329,1991481.642487062,2017
"SYR",241332.37862728958,2146.5696035017036,442442.6941500309,2017
"TCA",2122.9076051242278,32.83492385399883,3891.997276061084,2017
"TCD",759682.9006985191,6765.138653660586,1392751.9846139534,2017
"TGO",733640.6031316987,7186.209751414163,1345007.772408114,2017
"THA",42853741.211817116,196456.50627744137,78565192.2216647,2017
"TJK",11.088382257898138,0.12115387188803131,20.328700806146585,2017
"TKM",8.119284920485786,0.061047255041246515,14.885355687557274,2017
"TLS",318501.0734036544,1713.2432838811555,583918.6345733664,2017
"TTO",161884.97257167823,739.1110297788541,296789.1163814101,2017
"TUN",1002535.4443214147,8525.83650322338,1837981.6479225936,2017
"TUR",3666643.0352555793,33901.123363537066,6722178.89796856,2017
"TWN",491348.7687514963,2584.1205363105546,900806.0760444099,2017
"TZA",24763072.57603519,194875.86110892886,45398966.38939786,2017
"UGA",12187614.907198627,116902.45448787611,22343960.66319748,2017
"UKR",10839924.132368546,85860.91491728187,19873194.242675666,2017
"URY",1838516.6863227715,21859.347396054378,3370613.9249250796,2017
"USA",360991721.23346794,2311358.030429936,661818155.5946913,2017
"UZB",162.8874546710793,1.694133046729588,298.62700023031204,2017
"VCT",6918.291194743095,30.798349996353707,12683.533857029008,2017
"VEN",29425330.35020917,166982.30201223088,53946438.975383475,2017
"VGB",40979.4055495635,229.36256174680057,75128.91017419971,2017
"VIR",213671.4554266863,1126.425148764938,391731.0016155894,2017
"VNM",52615504.60840406,286940.29223711754,96461758.44874078,2017
"VUT",94727.22419135662,436.09194112165994,173666.57768415372,2017
"XAD",128.27016531770755,1.3348204528775283,235.16196974913055,2017
"XKO",114542.08921555347,626.3621099615725,209993.83022851468,2017
